ZCTA5,Nearest_Hospital_Distance
77975,40420.5004383295
75006,5123.0508150794785
75009,18378.20617040025
75013,0.0
75020,0.0
75022,6638.645548041282
75024,5566.70534968199
75032,0.0
75039,0.0
75041,5097.023897181656
75043,5760.878137356038
75050,6281.4054549967195
75052,8907.562573924992
75056,5641.156935587752
75058,29910.498747941652
75061,0.0
75063,0.0
75068,10560.462670969106
75070,0.0
75074,5512.03451596939
75078,12801.22264060257
75082,0.0
75090,0.0
75093,0.0
75098,13260.706228603787
75103,27737.87120459541
75105,25663.857500901675
75110,0.0
75115,8886.735437138488
75119,0.0
75125,15129.58492947098
75127,12769.082422764533
75140,0.0
75142,0.0
75144,33531.674048205874
77976,24444.25631319209
77978,49137.23074894827
77979,49209.114552951425
77982,74044.24777826868
77983,65998.82469086008
77984,29526.960270593794
77990,44279.45209606304
77993,34475.81901944775
77994,22331.53522907874
77995,26588.153652203462
78002,22180.861671614057
78003,42271.08647814017
78004,34874.01693932251
78007,49820.086016840716
78009,37726.96168347069
78011,14936.76373780499
78013,29326.549089212724
78015,22922.307761394553
78017,0.0
78022,51553.297793328056
78024,36175.49527510097
78026,0.0
78039,32404.63244212478
78043,22521.148688519377
78045,43674.32388260333
78050,29240.132181284767
78056,35988.37074984681
78058,54164.18182590398
78061,0.0
78064,22849.32069752175
78066,32586.793481485463
78069,20961.254744247966
78071,57779.889391927114
78073,10922.228562622502
78104,15895.031356630792
78108,22879.02369731895
78112,21377.585122931167
78116,49524.015099492026
78118,40668.893182664746
78121,29872.13443189193
78123,12553.1203079884
78125,32935.50792238478
78132,15855.265954903221
78145,44044.3544088564
78146,29122.712504677394
78148,20754.068828654068
78154,23824.788880273176
78159,34263.451583080176
78161,26847.339044579152
78163,17659.565565305333
78204,3271.470817598537
78205,0.0
78207,0.0
78209,8985.381010998522
78211,7164.068417438154
78213,5609.616669818899
78216,6806.655439434186
78218,12831.138683003703
78220,10342.411669747575
78224,0.0
78227,11748.840812602548
78229,0.0
78231,7668.945340628674
78233,13261.32125489102
78236,14386.489759010492
78238,6727.8462234630815
78240,0.0
78244,16442.723968370203
78245,20648.402195653936
75147,26483.2547713179
75148,12144.077802934864
75149,0.0
75152,15787.96311219619
75153,23787.81960375121
75154,9520.33086047956
75155,19155.563260009647
75156,32896.72403719975
75158,22204.595577012216
75159,23019.80716259775
75160,18829.36114837897
75163,24358.35060938001
75165,0.0
75166,9380.658086568625
75167,13183.360935611483
75169,32831.63812297928
75173,16916.18596706623
75181,8753.060474831997
75189,15418.802361787999
75203,0.0
75206,4412.930780678176
75207,4148.240108066841
75209,3318.1987113984164
75211,9752.603348804609
75217,10633.27668442616
75219,2970.4221334549716
75223,3266.376128542016
75227,8060.044736586017
75228,3366.386585019449
75230,0.0
75232,3717.8079349556424
75234,0.0
75236,7462.014984650123
75240,3924.219712135415
75243,4838.169541173841
75252,5504.026455708439
75254,4552.683548691411
75287,5355.626069633222
75401,0.0
75407,12037.836167111298
75410,20090.814403678036
75414,12905.421545934958
75415,31138.0862964922
75417,34125.793159461144
75420,20267.833680923955
75422,21706.662658525936
75431,26204.879336574973
75433,23407.636954021877
75436,39933.01557806183
75438,51773.12887565847
75441,30666.478702678127
75446,32858.492361732744
75448,28506.412154679136
75450,34636.8081388056
75453,32450.990493205736
75455,0.0
75459,17659.7267453296
75468,29315.48458308128
75470,24865.56734124708
75474,35179.6700133418
75476,36272.02284237535
75478,27762.233011120516
75481,32500.849666654543
75486,20921.521131950693
75488,45542.650090380936
75490,34409.9232015538
75493,17850.654059256693
75495,22880.549238007505
75503,18659.487259245343
75551,35231.49579066508
78249,0.0
78250,7093.625555060325
78251,11042.675555016449
78253,21658.41202742485
78254,14391.108944468253
78255,12491.218337499944
78256,7198.923078294707
78257,10357.63372420168
78258,0.0
78259,7161.735588530312
78260,8118.533765765198
78263,21288.170476373074
78264,14175.090916707872
78266,18134.230033798915
78332,0.0
78336,0.0
78341,40118.65541172885
78343,25047.623716324455
78344,45058.90824011608
78353,70057.81613184146
78355,49884.578909692464
78358,23111.092424335
78362,8165.759466450766
78370,31931.568068045814
78372,35202.44893396018
78374,16491.540442716232
78376,55916.24206416856
78380,38730.173977303544
78383,48326.43625785178
78385,34433.12737780805
78390,18979.195739461804
78393,40376.96799015734
78402,6864.62433278913
78405,4481.578241071289
78408,6301.146158285935
78414,0.0
78417,8338.456401719264
78418,13013.497271563036
78503,0.0
78516,14485.571515989954
78521,14196.97778771371
78536,33754.649531449875
78537,7523.159647140848
78539,0.0
78543,17316.554956422046
78548,31385.987334369038
78550,0.0
78559,17620.05658321381
78562,19586.68956916878
78564,43458.36993335826
78566,20968.342967515007
78569,16641.599284860902
78573,11734.481951582322
78575,7941.0212518131375
78577,6559.237890791823
78579,9464.802687206588
78582,0.0
78584,28188.426598878264
78591,24899.509104386674
78592,19662.010320880494
78595,20372.380870648056
78596,0.0
78598,45328.557876262304
78606,51747.35404417419
78608,23075.88132689408
78610,10628.523708532568
78613,0.0
78614,17536.28453994354
78619,12736.370724061697
78621,38255.05705922459
75569,9067.24347823586
75601,0.0
75603,14609.185088895872
75605,0.0
75631,25313.74366001035
75633,0.0
75639,24378.825227522433
75641,23814.175257785057
75642,33836.62210275283
75644,41550.83194839235
75647,19961.964142412584
75651,18115.798355629107
78644,23354.15825031759
78648,34106.239623774716
78652,11796.847440390964
78653,21311.0725306918
78655,16354.052326050261
78657,19709.591489370512
78660,9743.62314203556
78662,30445.66341787483
78664,0.0
78666,0.0
78669,20054.013557806586
78671,29426.634898191664
78675,30096.86289198666
78677,21660.04432401639
78701,0.0
75654,22190.390092377293
75657,31781.026688751106
75661,30325.70783128442
75667,34272.686871545164
75669,31903.10925532098
75672,19808.499304658475
75681,39867.471499872925
75683,31855.432159051612
75686,33028.83927763222
75691,23049.20963052589
75701,0.0
75702,5452.779918985458
75704,19167.493707790767
75706,12729.87311156687
75708,0.0
75709,10372.501293230642
75751,0.0
75754,29350.398541787166
75756,33390.14088053814
75758,23827.67705217016
75759,21520.746132449254
75762,18819.830456709005
75764,14260.472251928142
75766,0.0
75770,29414.60120689444
75773,27656.16843341288
75779,17905.563152239538
75780,19304.862836234734
75785,23676.750331906926
75789,27840.943910503807
75790,16087.668756825286
75792,14385.85751206788
75803,23764.500605888577
75832,20767.374694673836
75833,38785.53464818985
75838,35432.6827403453
75840,0.0
75844,29338.510461795602
75846,53363.1520761394
78702,3262.7154565439364
78705,0.0
78712,1272.3347538441105
78719,16441.987355544374
78721,6543.457183737552
78724,13805.977818145806
78726,9659.544484819802
78728,7940.11695384423
78729,7231.654495642558
78731,0.0
78733,8007.4462170100305
78735,7443.081851658494
78737,0.0
78739,7995.546790530094
75848,21092.82452795142
75850,51476.22002420791
75851,25933.166799333078
75853,23459.419582707957
75856,29610.43809221821
75858,34591.81856694674
75860,24889.733741210664
75862,0.0
75904,0.0
75926,19456.052971152978
75928,51724.05387885552
75930,49540.942703977664
75932,49238.58602143216
75934,25031.135668366027
75935,40086.352557472244
75937,19178.221587179436
75939,39743.767919201484
75942,6164.843293653402
75944,30070.91704264885
75946,33154.26443834916
75949,17675.48235869928
75954,36637.38097404089
75959,36850.340476727004
75961,0.0
75962,18082.45967116227
75965,25483.575744129925
78741,5944.362363659418
78744,8750.625988004456
78746,0.0
78748,11923.02698053216
78750,5035.3040261009455
78751,2752.4562220064413
78752,6154.357831078421
78756,3601.7449801275106
79025,39500.84026464481
79033,82184.04347449206
79040,62054.04423330238
79042,62008.4418735299
79044,94537.0117152513
79046,39777.89763582408
79051,91249.14665892716
79053,68409.14165834528
79056,42855.248792517
79058,48801.199405861524
79061,51061.1653662972
79063,62474.48466308385
79065,0.0
79068,54538.93726109109
79072,0.0
79079,64374.938460545956
79081,78359.00200931945
79083,84209.99293643143
79085,23804.81105591422
79086,102012.05666605265
79088,55100.269343210326
79092,51211.87197531792
79094,63069.732173965705
78757,4035.5769961699375
78801,91216.4406703865
78802,70084.77714391174
78829,45914.73580387318
78830,41912.6588926733
78833,91919.84799929555
78836,32160.175191660022
78838,91914.42902956055
78839,33738.28202334044
78843,50631.61409131699
78851,121432.72892075282
78860,34239.57932206769
78861,62163.780182074195
78871,91510.74797768194
78873,72938.59000086186
78879,76033.1092424343
78880,72843.04937986047
78883,48636.010686342415
78884,65829.60989920943
78886,29685.261338915367
78932,33822.24136695132
78934,0.0
78938,19611.89539840498
78941,34781.211357768225
78943,6152.273203889767
